CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0210,,0,,,,,,,,,,,,,,,
SN_L_0211,,0,,,,,,,,,,,,,,,
SN_L_0212,,0,,,,,,,,,,,,,,,
SN_L_0213,,0,,,,,,,,,,,,,,,
SN_L_0214,,0,,,,,,,,,,,,,,,
SN_L_0215,,0,,,,,,,,,,,,,,,
SN_L_0216,,0,,,,,,,,,,,,,,,
SN_L_0217,,0,,,,,,,,,,,,,,,
SN_L_0218,,0,,,,,,,,,,,,,,,
SN_L_0219,,0,,,,,,,,,,,,,,,
SN_L_0220,,0,,,,,,,,,,,,,,,
SN_L_0221,,0,,,,,,,,,,,,,,,
SN_L_0222,,0,,,,,,,,,,,,,,,
SN_L_0223,,0,,,,,,,,,,,,,,,
SN_L_0224,,0,,,,,,,,,,,,,,,
SN_L_0225,,0,,,,,,,,,,,,,,,
SN_L_0226,,0,,,,,,,,,,,,,,,
SN_L_0227,,0,,,,,,,,,,,,,,,
SN_L_0228,,0,,,,,,,,,,,,,,,
SN_L_0229,,0,,,,,,,,,,,,,,,
SN_L_0230,,0,,,,,,,,,,,,,,,
SN_L_0231,,0,,,,,,,,,,,,,,,
SN_L_0232,,0,,,,,,,,,,,,,,,
SN_L_0233,,0,,,,,,,,,,,,,,,
SN_L_0234,,0,,,,,,,,,,,,,,,
SN_L_0235,,0,,,,,,,,,,,,,,,
SN_L_0236,,0,,,,,,,,,,,,,,,
SN_L_0237,,0,,,,,,,,,,,,,,,
SN_L_0238,,0,,,,,,,,,,,,,,,
SN_L_0239,,0,,,,,,,,,,,,,,,
SN_L_0240,,0,,,,,,,,,,,,,,,
SN_L_0241,,0,,,,,,,,,,,,,,,
SN_L_0242,,0,,,,,,,,,,,,,,,
SN_L_0243,,0,,,,,,,,,,,,,,,
SN_L_0244,,0,,,,,,,,,,,,,,,
SN_L_0245,,0,,,,,,,,,,,,,,,
SN_L_0246,,0,,,,,,,,,,,,,,,
SN_L_0247,,0,,,,,,,,,,,,,,,
SN_L_0248,,0,,,,,,,,,,,,,,,
SN_L_0249,,0,,,,,,,,,,,,,,,
SN_L_0250,,0,,,,,,,,,,,,,,,
SN_L_0251,,0,,,,,,,,,,,,,,,
SN_L_0252,,0,,,,,,,,,,,,,,,
SN_L_0253,,0,,,,,,,,,,,,,,,
SN_L_0254,,0,,,,,,,,,,,,,,,
SN_L_0255,,0,,,,,,,,,,,,,,,
SN_L_0256,,0,,,,,,,,,,,,,,,
SN_L_0257,,0,,,,,,,,,,,,,,,
SN_L_0258,,0,,,,,,,,,,,,,,,
SN_L_0259,,0,,,,,,,,,,,,,,,
SN_L_0260,,0,,,,,,,,,,,,,,,
SN_L_0261,,0,,,,,,,,,,,,,,,
SN_L_0262,,0,,,,,,,,,,,,,,,
SN_L_0263,,0,,,,,,,,,,,,,,,
SN_L_0264,,0,,,,,,,,,,,,,,,
SN_L_0265,,0,,,,,,,,,,,,,,,
SN_L_0266,,0,,,,,,,,,,,,,,,
SN_L_0267,,0,,,,,,,,,,,,,,,
SN_L_0268,,0,,,,,,,,,,,,,,,
SN_L_0269,,0,,,,,,,,,,,,,,,
SN_L_0270,,0,,,,,,,,,,,,,,,
SN_L_0271,,0,,,,,,,,,,,,,,,
SN_L_0272,,0,,,,,,,,,,,,,,,
SN_L_0273,,0,,,,,,,,,,,,,,,
SN_L_0274,,0,,,,,,,,,,,,,,,
SN_L_0275,,0,,,,,,,,,,,,,,,
SN_L_0276,,0,,,,,,,,,,,,,,,
SN_L_0277,,0,,,,,,,,,,,,,,,
SN_L_0278,,0,,,,,,,,,,,,,,,
SN_L_0279,,0,,,,,,,,,,,,,,,
SN_L_0280,,0,,,,,,,,,,,,,,,
SN_L_0281,,0,,,,,,,,,,,,,,,
SN_L_0282,,0,,,,,,,,,,,,,,,
SN_L_0283,,0,,,,,,,,,,,,,,,
SN_L_0284,,0,,,,,,,,,,,,,,,
SN_L_0285,,0,,,,,,,,,,,,,,,
SN_L_0286,,0,,,,,,,,,,,,,,,
SN_L_0287,,0,,,,,,,,,,,,,,,
SN_L_0288,,0,,,,,,,,,,,,,,,
SN_L_0289,,0,,,,,,,,,,,,,,,
SN_L_0290,,0,,,,,,,,,,,,,,,
SN_L_0291,,0,,,,,,,,,,,,,,,
SN_L_0292,,0,,,,,,,,,,,,,,,
SN_L_0293,,0,,,,,,,,,,,,,,,
SN_L_0294,,0,,,,,,,,,,,,,,,
SN_L_0295,,0,,,,,,,,,,,,,,,
SN_L_0296,,0,,,,,,,,,,,,,,,
SN_L_0297,,0,,,,,,,,,,,,,,,
SN_L_0298,,0,,,,,,,,,,,,,,,
SN_L_0299,,0,,,,,,,,,,,,,,,
SN_L_0300,,0,,,,,,,,,,,,,,,
SN_L_0301,,0,,,,,,,,,,,,,,,
SN_L_0302,,0,,,,,,,,,,,,,,,
SN_L_0303,,0,,,,,,,,,,,,,,,
SN_L_0304,,0,,,,,,,,,,,,,,,
SN_L_0305,,0,,,,,,,,,,,,,,,
SN_L_0306,,0,,,,,,,,,,,,,,,
SN_L_0307,,0,,,,,,,,,,,,,,,
SN_L_0308,,0,,,,,,,,,,,,,,,
SN_L_0309,,0,,,,,,,,,,,,,,,
SN_L_0310,,0,,,,,,,,,,,,,,,
SN_L_0311,,0,,,,,,,,,,,,,,,
SN_L_0312,,0,,,,,,,,,,,,,,,
SN_L_0313,,0,,,,,,,,,,,,,,,
SN_L_0314,,0,,,,,,,,,,,,,,,
SN_L_0315,,0,,,,,,,,,,,,,,,
SN_L_0316,,0,,,,,,,,,,,,,,,
SN_L_0317,,0,,,,,,,,,,,,,,,
SN_L_0318,,0,,,,,,,,,,,,,,,
SN_L_0319,,0,,,,,,,,,,,,,,,
SN_L_0320,,0,,,,,,,,,,,,,,,
SN_L_0321,,0,,,,,,,,,,,,,,,
SN_L_0322,,0,,,,,,,,,,,,,,,
SN_L_0323,,0,,,,,,,,,,,,,,,
SN_L_0324,,0,,,,,,,,,,,,,,,
SN_L_0325,,0,,,,,,,,,,,,,,,
SN_L_0326,,0,,,,,,,,,,,,,,,
SN_L_0327,,0,,,,,,,,,,,,,,,
SN_L_0328,,0,,,,,,,,,,,,,,,
SN_L_0329,,0,,,,,,,,,,,,,,,
SN_L_0330,,0,,,,,,,,,,,,,,,
SN_L_0331,,0,,,,,,,,,,,,,,,
SN_L_0332,,0,,,,,,,,,,,,,,,
SN_L_0333,,0,,,,,,,,,,,,,,,
